id,title,popularity,release_date,launch Month,launch Year ,vote_average,vote_count
3085,His Girl Friday,19.162,1/18/1940,1,1940,7.417,732
668461,Slumberland,30.727,11/18/2022,11,2022,7.417,725
771,Home Alone,8.485,11/16/1990,11,1990,7.416,10267
312221,Creed,72.76,11/25/2015,11,2015,7.416,7023
11829,Trinity Is Still My Name,21.587,10/21/1971,10,1971,7.415,827
7249,Futurama: Bender's Big Score,16.257,11/27/2007,11,2007,7.415,625
1895,Star Wars: Episode III - Revenge of the Sith,53.045,5/17/2005,5,2005,7.414,12864
492,Being John Malkovich,32.141,10/29/1999,10,1999,7.414,4000
14092,Ghost in the Shell 2.0,16.499,7/12/2008,7,2008,7.414,365
951491,Saw X,509.974,9/26/2023,9,2023,7.413,1150
615666,A Boy Called Christmas,46.535,11/24/2021,11,2021,7.413,624
1653,The Motorcycle Diaries,16.249,2/6/2004,2,2004,7.412,1177
146,"Crouching Tiger, Hidden Dragon",31.954,7/6/2000,7,2000,7.411,2944
176,Saw,102.725,10/1/2004,10,2004,7.41,8583
451048,Jungle Cruise,62.25,7/28/2021,7,2021,7.41,5252
1391,Y Tu Mamá También,30.575,6/8/2001,6,2001,7.41,1365
339380,On the Basis of Sex,21.639,12/25/2018,12,2018,7.41,952
760,The Mad Adventures of Rabbi Jacob,19.849,10/17/1973,10,1973,7.41,903
26963,The Secret of Kells,21.346,2/9/2009,2,2009,7.41,620
823,Jin-Roh: The Wolf Brigade,24.306,11/17/1999,11,1999,7.41,427
39486,Secretariat,28.934,8/20/2010,8,2010,7.409,541
12207,The Legend of Drunken Master,27.019,2/3/1994,2,1994,7.407,878
433247,First They Killed My Father,21.634,2/18/2017,2,2017,7.407,621
20982,Naruto Shippuden the Movie,57.731,8/4/2007,8,2007,7.406,789
17529,True Grit,25.571,6/11/1969,6,1969,7.406,700
4203,Women on the Verge of a Nervous Breakdown,16.998,3/25/1988,3,1988,7.405,806
439584,I Can Quit Whenever I Want 3: Ad Honorem,6.887,11/30/2017,11,2017,7.404,924
11236,The Secret Garden,29.424,8/13/1993,8,1993,7.404,824
274109,Palm Trees in the Snow,22.98,12/25/2015,12,2015,7.403,503
491584,Burning,36.67,5/17/2018,5,2018,7.402,1430
37135,Tarzan,92.155,6/18/1999,6,1999,7.401,6310
